TURBOVEG_PLOT_NUMBER,PLANT_COMMUNITY_NAME,ELEVATION,ASPECT,SLOPE,COVER_LITTER_LAYER,COVER_OPEN_WATER,COVER_ROCK,COVER_CRUST,COVER_BARE_SOIL,REMARKS
10925,Ass. Umbilicarietum pensylvanicae-carolinianae,1090,45,-9999,0,0,0,0,0,"Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
10926,Ass. Umbilicarietum pensylvanicae-carolinianae,920,315,-9999,0,0,0,0,0,"Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
10927,Ass. Umbilicarietum pensylvanicae-carolinianae,940,270,-9999,0,0,0,0,0,"Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
10928,Ass. Umbilicarietum pensylvanicae-carolinianae,950,225,-9999,0,0,0,0,0,"Umbilicaria arctica = in original Umbilicaria arctica diomedensis. Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
10929,Ass. Umbilicarietum pensylvanicae-carolinianae,935,270,-9999,0,0,0,0,0,"Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
10930,Ass. Umbilicarietum pensylvanicae-carolinianae,940,270,-9999,0,0,0,0,0,"Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
10931,Ass. Umbilicarietum pensylvanicae-carolinianae,940,225,-9999,0,0,0,0,0,"Crustose and foliose lichen dominated vegetation on granitic rocks. This association occurs on talus slopes at low to moderate elevations in cirques and along and below granitic peaks and ridges where the talus is stable. Comprised primarily of pioneering foliose and crustose lichens, this community lacks vascular plants (Cooper 1986)."
10932,Ass. Cetrario hepatizonti-Pseudophebetum minusculae,1920,-9999,0,0,0,0,0,0,Crustose and foliose lichen dominated vegetation on granitic rocks. This association dominates granitic talus at the highest elevations surveyed and is generally floristically impoverished due to winter wind blasting (Cooper 1986).
10933,Ass. Cetrario hepatizonti-Pseudophebetum minusculae,1900,-9999,0,0,0,0,0,0,Crustose and foliose lichen dominated vegetation on granitic rocks. This association dominates granitic talus at the highest elevations surveyed and is generally floristically impoverished due to winter wind blasting (Cooper 1986).
10934,Ass. Cetrario hepatizonti-Pseudophebetum minusculae,1920,-9999,0,0,0,0,0,0,Crustose and foliose lichen dominated vegetation on granitic rocks. This association dominates granitic talus at the highest elevations surveyed and is generally floristically impoverished due to winter wind blasting (Cooper 1986).
10935,Ass. Cetrario hepatizonti-Pseudophebetum minusculae,1905,-9999,0,0,0,0,0,0,Crustose and foliose lichen dominated vegetation on granitic rocks. This association dominates granitic talus at the highest elevations surveyed and is generally floristically impoverished due to winter wind blasting (Cooper 1986).
10936,Ass. Cetrario hepatizonti-Pseudophebetum minusculae,1905,-9999,0,0,0,0,0,0,Crustose and foliose lichen dominated vegetation on granitic rocks. This association dominates granitic talus at the highest elevations surveyed and is generally floristically impoverished due to winter wind blasting (Cooper 1986).
10937,Ass. Andreaetum blytti-rupestris,1100,45,-9999,0,0,0,0,0,"Published name of community (Cooper 1986) - Dicranowessia crispula-Andreae rupestris. Moss dominated vegetation on granite rocks. Plants occur in depressions on granitic talus, and on north-facing cirque walls where snow persists late into summer (Cooper 1986)."
