TURBOVEG_PLOT_NUMBER,Abietinella abietina,Acarospora schleicheri,Aconitum delphinifolium delphinifolium,Alectoria ochroleuca,Parmelia almquistii,Dactylina madreporiformis,Alnus crispa crispa,Amphidium mougeotii,Andreaea blyttii,Andreaea rupestris,Andreaeobryum macrosporum,Andromeda polifolia,Androsace chamaejasme lehmanniana ,Anemone drummondii,Anemone parviflora,Anemone richardsonii,Anemone narcissiflora interior ,Antennaria friesiana,Antennaria monocephala,Zygadenus elegans,Aphragmus eschscholtzianus,Arctagrostis latifolia,Xanthoparmelia centrifuga,Arctoparmelia incurva,Xanthoparmelia separata,Arctostaphylos uva-ursi,Arctostaphylos rubra,Arnica angustifolia angustifolia,Arnica lessingii lessingii,Artemisia arctica arctica,Artemisia alaskana,Asahinea chrysantha,Asahinea scholanderi,Crepis nana,Astragalus aborigium,Astragalus alpinus,Astragalus umbellatus,Aulacomnium acuminatum,Aulacomnium palustre,Aulacomnium turgidum,Baeomyces rufus,Lophozia hatcheri,Barbula convoluta gallinula,Betula glandulosa,Betula nana exilis,Polygonum bistorta plumosum ,Polygonum viviparum,Blepharostoma trichophyllum,Boschniakia rossica,Boykinia richardsonii,Brachythecium salebrosum,Braya humilis richardsonii,Hypogymnia oroarctica,Cornicularia divergens,Lecanora castanea,Bryum argenteum,Bryum capillare,Bryum lisae ,Bryum pallescens,Bryum pseudotriquetrum,Bryum sp.,Bryum sp.,Calamagrostis purpurascens purpurascens,Caloplaca cinnamomea,Caloplaca fraudans,Caloplaca holocarpa,Campanula lasiocarpa lasiocarpa,Campanula uniflora,Campylium halleri,Campylium stellatum,Candelariella placodizans,Cardamine bellidifolia ,Carex aquatilis,Carex atrofusca,Carex bigelowii,Carex capillaris,Carex misandra,Carex glacialis,Carex krausei,Carex lachenalii,Carex membranacea,Carex microchaeta,Carex nardina,Carex franklinii,Carex podocarpa,Carex rupestris,Carex scirpoidea,Carex vaginata,Cassiope tetragona tetragona,Castilleja elegans,Catoscopium nigritum,Ceratodon purpureus,Cetraria islandica,Cetraria islandica reticulata,Cetraria kamczatica,Cetraria laevigata,Cornicularia muricata,Cetraria nigricans,Cetraria delisei,Epilobium angustifolium angustifolium,Epilobium latifolium,Chrysosplenium tetrandrum,Cinclidium arcticum,Cirriphyllum cirrosum,Cladonia norlinnii,Cladonia amaurocraea,Cladonia arbuscula ,Cladonia bellidiflora,Cladonia carneola,Cladonia cenotea,Cladonia coccifera ,Cladonia cornuta,Cladonia crispata,Cladonia decorticata,Cladonia fimbriata,Cladonia gracilis ,Cladonia macrophylla,Cladonia metacorallifera,Cladonia mitis,Cladonia pocillum,Cladonia rangiferina,Cladonia aberrans,Cladonia stellaris,Cladonia subulata,Cladonia sulphurina,Cladonia trassii,Cladonia uncialis,Claytonia sarmentosa,Conostomum tetragonum,Cynodontium polycarpum,Cynodontium strumiferum,Cypripedium passerinum,Cyrtomnium hymenophyllum,Cystopteris fragilis,Dactylina arctica,Dactylina beringica,Dactylina ramulosa,Potentilla fruticosa,Diapensia lapponica obovata ,Dicranoweisia crispula,Dicranum acutifolium,Dicranum scoparium,Dicranum angustum,Didymodon acutus ditrichoides,Lycopodium alpinum ,Diplophyllum albicans,Diploschistes scruposus,Distichium capillaceum,Ditrichum flexicaule,Dodecatheon frigidum,Draba nivalis,Dryas integrifolia integrifolia,Dryas octopetala octopetala,Dryas octopetala alaskensis ,Dryopteris fragrans,Empetrum nigrum hermaphroditum,Encalypta sp.,Equisetum arvense,Equisetum scirpoides,Equisetum variegatum variegatum,Erigeron eriocephalus,Erigeron humilis,Erigeron hyperboreus,Erigeron purpuratus,Eriophorum angustifolium subarcticum,Eriophorum scheuchzeri scheuchzeri,Aster sibiricus,Festuca altaica,Festuca baffinensis,Festuca brachyphylla,Fissidens osmundoides,Cetraria cucullata,Cetraria nivalis,Fulgensia bracteata,Gentiana glauca,Gentianella propinqua propinqua,Geum glaciale,Alectoria nigricans,Grimmia affinis,Gymnocolea inflata,Gymnomitrion concinnatum,Gymnomitrion corallioides,Hamatocaulis lapponicus,Hedysarum alpinum americanum,Hierochlon alpina,Chrysanthemum integrifolium ,Lycopodium selago appressum,Hygrohypnum luridum,Hylocomiastrum pyrenaicum,Hylocomium splendens,Gymnostomium recurvirostrum,Hypnum bambergeri,Hypnum hamulosum,Hypnum vaucheri,Hypogymnia austerodes,Hypogymnia physodes,Juncus biglumis,Juniperus communis,Loiseleuria procumbens,Kiaeria starkei,Kobresia myosuroides,Kobresia simpliciuscula,Lasallia pensylvanica,Lecanora coilocarpa,Lecanora epibryon,Lecidea species,Elymus innovatus,Limprichtia cossonii,Drepanocladus revolvens,Linnaea borealis,Lloydia serotina,Lobaria linita,Luzula arcuata s. unalaschkensis,Luzula confusa,Lycopodium annotinum pungens ,Marsupella aquatica,Marsupella revoluta,Cetraria richardsonii,Meesia triquetra,Meesia uliginosa,Pachyospora verrucosa,Cetraria hepatizon,Saxifraga davurica grandipetala ,Saxifraga foliolosa,Saxifraga hieraciifolia,Saxifraga punctata nelsoniana,Saxifraga nivalis,Saxifraga reflexa ,Saxifraga spicata,Minuartia arctica,Minuartia macrocarpa,Minuartia obtusiloba,Minuartia rossii,Minuartia rubella,Mnium blyttii,Mnium spinulosum,Moneses uniflora,Myurella julacea,Myurella sibirica,Nephroma arcticum,Nephroma expallidum,Ochrolechia frigida,Ochrolechia upsaliensis,Oligotrichum falcatum,Oncophorus wahlenbergii,Pyrola secunda ,Lophozia atlantica,Lophozia floerkei,Orthothecium chryseum,Orthotrichum speciosum,Oxyria digyna,Oxytropis borealis,Oxytropis nigrescens bryophila,Oxytropis campestris jordalii,Oxytropis campestris gracilis,Senecio residifolius,Senecio ogotorukensis,Paludella squarrosa,Papaver lapponicum,Papaver macounii,Parmelia omphalodes,Parmelia sulcata,Parnassia kotzebuei,Parnassia palustris neogaea,Parrya nudicaulis,Pedicularis sudetica albolobiata,Pedicularis capitata,Pedicularis labradorica,Pedicularis kanei kanei,Peltigera aphthosa,Peltigera canina,Peltigera malacea,Peltigera polydactyla,Peltigera scabrosa,Peltigera venosa,Pertusaria bryontha,Pertusaria dactylina,Petasites frigidus,Physcia muscigena,Picea glauca,Pinguicula vulgaris vulgaris,Dermatocarpon lachneum,Dermatocarpon rufescens,Lecidea uliginosa,Pleurozium schreberi,Poa glauca,Pohlia cruda,Pohlia nutans,Pohlia wahlenbergii,Polemonium acutiflorum,Polytrichastrum alpinum,Polytrichum piliferum,Polytrichum strictum,Potentilla elegans,Potentilla uniflora,Preissia quadrata,Pannaria pezizoides,Pseudephebe minuscula,Scorpidium turgescens,Pseudoleskeella catenula,Pseudoleskeella tectorum,Lecidea decipiens,Lecidea rubiformis,Ptilidium ciliare,Ptilium crista-castrensis,Pyrola asarifolia,Pyrola grandiflora,Racomitrium canescens,Racomitrium lanuginosum,Radula prolifera,Ranunculus nivalis,Rhizocarpon copelandii,Rhizocarpon disporum,Rhizocarpon eupetraeoides,Rhizocarpon geographicum ,Rhizocarpon grande,Rhizomnium andrewsianum,Rhododendron lapponicum,Ledum palustre decumbens,Rhytidium rugosum,Rinodina roscida,Salix alaxensis,Salix arctica,Salix chamissonis,Salix brachycarpa niphoclada,Salix phlebophylla,Salix planifolia pulchra,Salix reticulata reticulata,Salix richardsonii,Salix rotundifolia dodgeana,Salix rotundifolia rotundifolia,Drepanocladus uncinatus,Drepanocladus pseudosarmentosus,Saussurea angustifolia,Saxifraga eschscholtzii,Saxifraga bronchialis funstonii,Saxifraga rivularis flexuosa,Saxifraga oppositifolia,Saxifraga oppositifolia oppositifolia,Saxifraga serpyllifolia,Saxifraga flagellaris setigera,Saxifraga tricuspidata,Scapania spitsbergensis,Schistidium apocarpum,Schistidium rivulare,Schistidium tenerum,Lophozia kunzeana,Lophozia quadriloba,Selaginella selaginoides,Selaginella sibirica,Senecio lugens,Shepherdia canadensis,Silene acaulis subacaulescens,Solidago multiradiata multiradiata,Solorina bispora,Solorina crocea,Solorina octospora,Solorina saccata,Sphaerophorus fragilis,Sphaerophorus globosus,Sphagnum compactum,Sphagnum warnstorfii,Anastrophyllum minutum,Anastrophyllum saxicola,Spilonema revertens,Stegonia latifolia,Stellaria laeta,Stereocaulon alpinum,Stereocaulon botryosum,Stereocaulon dactylophyllum,Stereocaulon paschale,Stereocaulon subcoralloides,Tortula ruralis,Senecio atropurpureus frigidus ,Senecio kjellmanii ,Chandonanthus setiformis,Thalictrum alpinum,Thamnolia subuliformis,Thamnolia vermicularis,Timmia austriaca,Timmia megapolitana,Tofieldia coccinea,Tofieldia pusilla,Tomentypnum nitens,Toninia caeruleonigricans,Toninia tristis,Tortella fragilis,Tortella tortuosa,Trisetum spicatum,Umbilicaria arctica diomedensis,Umbilicaria caroliniana,Umbilicaria cinerorufa,Umbilicaria cylindrica ,Umbilicaria hyperborea,Umbilicaria lyngei,Umbilicaria proboscidea,Umbilicaria rigida,Umbilicaria torrefacta,Umbilicaria vellea,Vaccinium uliginosum microphyllum,Vaccinium uliginosum alpinum,Vaccinium vitis-idaea minus,Valeriana capitata,Cetraria tilesii,Wilhelmsia physodes,Woodsia alpina,Woodsia glabella,Xanthoria elegans
10925,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
10926,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,30,0.5,0,0,10,0.5,0,0,0,0,0,0,0,0,0
10927,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,35,1,0,25,0,1,0.5,0,1,0,0,0,0,0,0,0,0,0
10928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,20,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10929,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0.5,0,0,0,1,1,0,0,0,1,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,10,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
10931,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0
10932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10933,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
